,Rank,Country,Name,Last name,Full Name,Matches Played,Matches Won,Match Time,Aces,Double Faults,1st Serve Won %,2nd Serve Won %,Points per Match,Break Points Saved %
27,27,RUS,Mikhail,Youzhny,Mikhail Youzhny,914,498,1:46,3503,2326,,51.45%,159.19,60.48%
28,29,GER,Tommy,Haas,Tommy Haas,907,569,1:38,5893,3300,74.29%,52.04%,157.71,62.10%
29,30,FRA,Richard,Gasquet,Richard Gasquet,905,562,1:38,4799,2110,72.99%,53.17%,152.46,60.81%
30,31,AUT,Thomas,Muster,Thomas Muster,900,626,1:30,1813,1416,,53.71%,155.62,62.96%
31,32,ESP,Carlos,Moya,Carlos Moya,894,575,1:41,4404,2186,71.86%,51.86%,163.30,62.82%
32,33,USA,Roscoe,Tanner,Roscoe Tanner,893,596,,,,,,,
33,34,ESP,Tommy,Robredo,Tommy Robredo,890,533,1:42,3233,2038,,51.88%,157.36,60.73%
34,35,GBR,Andy,Murray,Andy Murray,889,682,1:53,5911,2185,74.43%,51.83%,162.48,62.21%
35,36,CHI,Jaime,Fillol,Jaime Fillol,885,523,,,,,,,
36,37,FRA,Gilles,Simon,Gilles Simon,879,495,1:48,3701,1992,,51.48%,160.95,60.14%
37,38,AUS,Lleyton,Hewitt,Lleyton Hewitt,878,616,1:52,5100,2953,73.70%,52.68%,165.51,61.85%
38,39,USA,Eddie,Dibbs,Eddie Dibbs,861,599,,,,,,,
39,40,GER,Philipp,Kohlschreiber,Philipp Kohlschreiber,859,476,1:40,4643,1742,72.11%,53.91%,155.59,62.91%
40,41,CZE,Tomas,Smid,Tomas Smid,857,522,,,,,,,
41,42,POL,Wojtek,Fibak,Wojtek Fibak,854,540,,,,,,,
42,43,SUI,Stan,Wawrinka,Stan Wawrinka,842,533,1:52,5900,2123,73.69%,53.78%,170.53,64.11%
43,43,RSA,Wayne,Ferreira,Wayne Ferreira,842,512,1:34,5584,2306,74.52%,50.38%,167.76,60.90%
44,45,CRO,Marin,Cilic,Marin Cilic,837,537,1:49,7472,2421,76.86%,52.45%,165.02,64.15%
45,46,USA,Andy,Roddick,Andy Roddick,823,610,1:39,9067,1581,79.36%,56.14%,154.98,67.60%
46,47,MEX,Raul,Ramirez,Raul Ramirez,814,545,,,,,,,
47,48,RUS,Nikolay,Davydenko,Nikolay Davydenko,811,482,1:44,2527,2041,,51.37%,151.38,60.25%
48,49,USA,Brad,Gilbert,Brad Gilbert,807,519,1:44,1200,799,72.26%,,162.44,60.70%
49,50,ECU,Andres,Gomez,Andres Gomez,804,530,,,,71.28%,,,60.23%
50,51,USA,Marty,Riessen,Marty Riessen,800,494,,,,,,,
51,52,ITA,Andreas,Seppi,Andreas Seppi,799,384,1:45,3791,2102,70.42%,50.17%,163.04,
52,53,FRA,Gael,Monfils,Gael Monfils,793,502,1:43,6367,2802,72.80%,49.73%,161.91,61.46%
53,54,SWE,Mats,Wilander,Mats Wilander,792,569,,,,,,,
54,55,SWE,Bjorn,Borg,Bjorn Borg,788,650,,,,,,,
55,55,AUS,John,Newcombe,John Newcombe,788,564,,,,,,,
